Cruise,Station,Type,Time_Stamp,Date,Latitude,Longitude,CruiseCN,SCN,CampCN,Niskin,Cast_Type,Target_Z,TOC,TOC_sd,DOC,DOC_sd,percent_diff,ave_percent_diff,DOC_corr,DOC_corr_flag,tdaa_ave,tdaa_sd,tdaa_c_ave,tdaa_c_sd,mol_per_bala_gaba,mol_per_bala_gaba_sd,mol_per_asp,mol_per_glu,mol_per_his,mol_per_ser,mol_per_arg,mol_per_thr,mol_per_gly,mol_per_tau,molper_bala,mol_per_tyr,mol_per_ala,mol_per_gaba,mol_per_met,mol_per_val,mol_per_phe,mol_per_ile,mol_per_leu,mol_per_lys,tdaa_yield
AT38,1,B,2017-09-04T15:46,2017-09-04,42.391,-42.954,2,1,74,24,Deep,5,NA,NA,65.9,1.1,NA,NA,65.9,NA,174.97,4.05,641.21,21.65,3.96,0.74,8.06,10.99,0.74,7.95,5.28,4.86,29.73,1.96,3.64,1.38,14.09,0.32,0,4.21,0,1.75,4.77,2.22,0.97
AT38,1,B,2017-09-04T17:00,2017-09-04,42.384,-42.936,1,1,NA,NA,Microlayer,0.1,214.1,7.5,NA,NA,NA,3.92,205.7,2,1430.64,37.25,5440.64,122.35,0.98,0.39,9.68,17.2,1.57,22.57,2.06,3.59,20.69,0.82,0.81,1.26,9.18,0.17,0.02,3.07,1.37,1.61,2.66,2.48,2.64
AT38,3,B,2017-09-08T07:39,2017-09-08,47.05,-40.05,13,3,85,23,Deep,5,NA,NA,67.8,0.4,NA,NA,67.8,NA,364.58,123.51,1239.14,453.03,2.85,1.65,7.87,8.33,0,19.27,0.78,5.87,27.88,0,2.85,0.92,15.89,0,0,4.56,1.02,1.06,1.54,2.16,1.83
AT38,6,B,2017-09-13T18:00,2017-09-13,53.264,-39.531,29,1,101,23,Deep,5,NA,NA,65.2,1.2,NA,NA,65.2,NA,292.86,26.47,1113.35,78.28,3.41,0.93,7.16,8.1,1.94,14.43,6.63,5.5,22.73,1.96,3.02,1.89,15.79,0.39,0,3.59,0.98,1.67,3.87,2.31,1.71
AT38,6,B,NA,NA,NA,NA,1,1,NA,NA,Microlayer,0.1,NA,NA,80.6,NA,NA,3.92,80.6,1,1167.19,20.26,4435.69,59.67,2.58,0.47,8.23,19.34,0.77,19.9,2.78,4.38,20.25,1.36,1.45,0.87,10.23,1.13,0,2.91,0.98,1.41,2.81,2.55,5.5
AT39-6,1,B,2018-03-27T09:10,2018-03-27,39.406,-43.445,3,3,116,23,Deep,5,NA,NA,63,1.2,NA,NA,63,NA,242.36,17.27,783.14,58.87,3.73,0.82,7.72,10.08,0,15.88,0,3.55,32.07,0,3.73,0.32,17.81,0,0,5.44,0.24,1.3,0.53,1.34,1.24
AT39-6,2,B,2018-03-28T09:03,2018-03-28,39.277,-41.213,7,3,120,23,Deep,5,NA,NA,56.7,1.5,NA,NA,56.7,NA,106.07,14.11,399.69,75.82,10.72,0.24,7.33,6.94,8.52,0.09,5.5,4.28,38.52,4.2,3.91,1.28,6.21,6.81,0,1.94,1.13,2.04,2.35,3.16,0.7
AT39-6,2,B,2018-03-28T09:10,2018-03-28,39.277,-41.213,1,1,NA,NA,Microlayer,0.1,NA,NA,181.1,0.4,NA,3.92,181.1,1,3724.56,96.37,17046.48,421.4,4.06,0.11,6.78,17.15,24.2,2.39,1.92,3.71,21.12,0.63,0.61,1.77,3.57,3.45,0.13,3.28,1.68,1.94,3.26,3.04,9.41
AT39-6,3,B,2018-03-30T06:59,2018-03-30,43.499,-42.16,12,3,125,23,Deep,5,NA,NA,57.5,1.6,NA,NA,57.5,NA,200.04,10.4,611.54,47.4,4.68,0.67,3.13,10.83,0,15.67,0,4.21,36.97,0,4.68,0,18.55,0,0,4.21,0,0.87,0.12,0.76,1.06
AT39-6,4,B,2018-04-01T08:40,2018-04-01,44.457,-38.285,15,3,128,23,Deep,5,NA,NA,54.2,0.1,NA,NA,54.2,NA,140.16,27.39,478.78,79.93,10.67,6.61,8.17,7.06,1.91,0,3.12,6.87,34.97,2.19,5.42,0.27,16.78,5.25,0,5.11,0,1.26,3.83,0,0.88
AT39-6,4,B,2018-04-01T08:50,2018-04-01,44.457,-38.285,1,1,NA,NA,Microlayer,0.1,NA,NA,101.2,1.2,NA,3.92,101.2,1,1120.58,38.5,4225.73,231.87,1.18,0.35,6.76,15.67,1.67,21.03,2.86,4,23.11,0.76,1.07,1.29,10.05,0.12,0,2.58,0.71,1.8,3.61,3.69,4.18
AT39-6,S2RD,B,2018-04-03T15:15,2018-04-03,39.889,-39.8,1,1,NA,NA,Microlayer,0.1,108.5,2,111.6,2.1,2.82,3.92,111.6,1,1416.02,80.06,5290.03,304.22,1.05,0.23,8.72,18.48,1.38,22.15,1.87,3.67,21.17,0.91,0.85,1.17,10.04,0.2,0,3.13,0.23,1.71,2.8,2.43,4.74
AT39-6,S2RD,B,2018-04-04T06:00,2018-04-04,40.113,-39.97,2,2,NA,NA,Flow-through,1,NA,NA,75.7,22.9,NA,NA,75.7,NA,111.63,7.59,371.05,32.51,6.21,0.9,10.45,7.63,0.06,10.62,3.01,2.42,35.6,3.64,6.06,0.43,14.51,0.15,0,0,0.25,0.82,4.63,3.36,0.49
AT39-6,S2RF,B,2018-04-05T07:00,2018-04-05,39.187,-40.122,1,1,NA,NA,Flow-through,1,NA,NA,59.3,2,NA,NA,59.3,NA,136.08,10.67,556.36,68.75,8.27,0.26,9.28,11.59,6.96,1.77,3.35,5.13,28.35,3.18,3.28,0.42,4.83,4.99,0,2.06,1.02,4.45,10.74,1.78,0.94
AT39-6,S2RF,B,2018-04-05T11:30,2018-04-05,39.194,-40.114,2,2,NA,NA,Microlayer,0.1,104.7,2.3,100.9,5.5,3.7,3.92,100.9,1,985.77,34.79,4105.88,210.49,6.36,0.26,5.9,16.72,20.93,1.51,2.17,2.52,30.6,2.78,2.81,0.84,3.6,3.54,0.22,2.45,1.16,1.4,1.2,2.42,4.07
